ID,ID LATTES,ORIENTAÇÕES CONC. TCC,ORIENTACOES CONC. ESPECIALIZACAO,O.P MESTRADO CONC.,O.P MESTRADO AND.,O.P DOUTORADO CONC.,O.P DOUTORADO AND.,C.O MESTRADO CONC.,C.O MESTRADO AND.,C.O DOUTORADO CONC.,C.O DOUTORADO AND.,BOLSA PRODUTIVIDADE,PUB. TEC. E ART.,LIVROS ISBN,CAPÍTULOS ISBN,PUB. TRAB. EVENTOS,PATENTES,REGISTROS DE SW,ORIENTAÇÕES I.C,EVENTOS ORGANIZADOS,PUBLICAÇÕES CIENTÍFICAS,PI,Obs,Grande Área,Titulação,Unidade
316,3711081070306339,6,0,0,0,0,0,1,0,0,0,,4,4,4,0,0,0,5,7,26,"199,56",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
317,8630101510231029,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,"25,21",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
318,8073356543539364,25,41,8,6,0,0,1,0,0,0,,2,5,9,13,0,0,0,4,10,"381,56",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
319,7068268268110586,0,1,0,4,0,0,1,0,0,0,,5,0,6,2,0,0,24,9,35,"300,58",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
320,2947587129307136,8,0,7,3,0,5,0,1,0,0,,7,1,0,0,0,0,15,0,26,"257,57",,Multidisciplinar,Faculdade de Odontologia de Pernambuco,Faculdade de Odontologia de Pernambuco
321,4500095957452968,8,11,0,0,0,0,0,0,0,0,,0,1,3,0,0,0,1,3,0,"72,46",,"Linguística, Letras e Artes",Campus Petrolina,Campus Petrolina
322,6241347351581121,2,0,8,0,0,1,0,0,0,0,,4,1,2,4,1,0,1,0,13,"141,08",,Ciências Biológicas,Campus Mata Norte,Campus Mata Norte
323,4153235548848190,14,0,0,0,0,0,0,0,0,0,,1,0,5,0,0,0,0,0,3,"70,64",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
324,4325387090972139,1,7,0,1,0,0,0,1,0,1,,4,0,0,0,0,0,0,0,13,"95,65",,Ciências da Saúde,Faculdade de Odontologia de Pernambuco,Faculdade de Odontologia de Pernambuco
325,2181437139039201,9,5,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,1,0,7,"95,73",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
326,4443122163296249,7,0,0,1,0,0,0,0,0,0,,2,0,8,0,2,0,23,2,18,"226,04",,Ciências Biológicas,Campus Garanhuns,Campus Garanhuns
327,2822546564690021,13,5,0,0,0,0,0,0,0,0,,0,1,2,1,0,0,0,0,5,"95,51",,Ciências Sociais Aplicadas,Faculdade de Ciências da Administração de Pernambuco,Faculdade de Ciências da Administração de Pernambuco
328,618681096822863,5,6,0,2,0,0,0,0,0,0,,0,0,1,0,0,0,2,0,10,"121,22",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
329,5963870439202680,7,0,0,0,0,0,0,0,0,0,,0,10,17,3,0,0,0,9,6,"154,17",,"Linguística, Letras e Artes",Campus Petrolina,Campus Petrolina
330,8191428790441945,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,Ciências da Saúde,Pronto Socorro Cardiológico de Pernambuco,Pronto Socorro Cardiológico de Pernambuco
331,"9,46082079903925E+015",25,4,7,5,0,3,0,0,0,0,,0,1,10,4,0,0,4,5,6,"228,82",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
332,7398653704982106,5,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,7,0,16,"130,11",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
333,"9,38989683531669E+015",17,0,14,3,0,0,0,0,0,0,,1,3,24,0,0,0,6,26,11,"269,44",,Ciências Sociais Aplicadas,Faculdade de Ciências da Administração de Pernambuco,Faculdade de Ciências da Administração de Pernambuco
334,5177404064409827,1,3,8,6,0,0,0,0,0,0,,0,0,1,0,0,0,2,2,4,93,,Ciências Humanas,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
